drug,target,value
266,107,6.5
266,113,5.8
266,117,5.8
266,118,6.6
266,122,5.5
266,124,5.9
266,151,5.9
266,161,5.3
266,164,6
267,1,5.6
267,8,5.6
267,14,5.6
267,17,6.2
267,18,6
267,26,6.6
267,28,8.8
267,29,5.6
267,39,6.1
267,40,5.7
267,43,5.2
267,50,7.2
267,53,6.1
267,55,5.5
267,57,5.2
267,59,5.3
267,62,5.3
267,73,5.3
267,75,6.2
267,80,5.1
267,83,6.5
267,85,5.7
267,87,5.5
267,88,6.3
267,95,7.5
267,96,5.5
267,98,6.2
267,100,5.5
267,105,6.3
267,107,5.7
267,112,5.3
267,114,5.2
267,117,5.1
267,118,6.5
267,121,6.2
267,124,5.1
267,125,7.1
267,142,5.8
267,161,5.5
268,1,5.9
268,12,8.4
268,14,5.7
268,18,5.8
268,37,5.4
268,40,5.2
268,45,5.7
268,57,5.6
268,58,5.5
268,66,5.3
268,75,5.4
268,87,5.8
268,88,5.7
268,98,5.9
268,99,5.5
268,100,5.5
268,161,5.7
268,163,5.5
269,1,6.9
269,3,5.9
269,5,5.4
269,8,6.2
269,9,7
269,15,5.6
269,18,5.6
269,19,5.4
269,23,5.2
269,29,5.3
269,37,5.6
269,38,5.5
269,39,6.8
269,40,5.4
269,53,7.5
269,55,6.7
269,59,5.9
269,60,7
269,66,5.3
269,75,6.6
269,83,5.1
269,85,6
269,87,5.7
269,88,7.6
269,89,6.6
269,92,5.5
269,94,7.1
269,96,5.3
269,97,5.5
269,98,6.7
269,100,5.6
269,107,5.3
269,109,6.2
269,110,5.9
269,114,5.3
269,117,6.4
269,118,5.2
269,125,6.2
269,157,5.2
269,161,6.8
269,162,5.2
270,1,7.3
270,8,5.9
270,9,6.1
270,15,5.2
270,17,6.3
270,18,6.1
270,38,6.2
270,39,6.6
270,41,5.3
270,53,6.8
270,55,6.2
270,59,5.4
270,66,5.2
270,74,5.5
270,75,6.6
270,80,5.9
270,83,5.4
270,85,5.9
270,87,6.1
270,88,8.3
270,92,5.3
270,96,6.4
270,98,7.3
270,100,5.7
270,105,6.6
270,107,6.3
270,114,5.6
270,118,5.6
270,121,5.9
270,124,5.8
270,125,6.7
270,150,5.4
270,161,5.2
271,7,5.8
271,18,5.7
271,20,5.2
271,37,6
271,39,5.4
271,45,5.6
271,66,5.2
271,92,8
271,98,6.7
271,99,5.7
271,100,5.5
271,103,5.5
271,117,5.8
271,161,5.3
271,164,6
272,1,8.3
272,7,5.9
272,8,6.4
272,9,6.8
272,12,7.4
272,13,6.2
272,14,5.7
272,15,5.2
272,16,5.4
272,17,6.6
272,18,6.7
272,19,5.7
272,20,5.1
272,23,5.5
272,37,6.2
272,38,7
272,39,6.8
272,40,6.8
272,41,6
272,43,5.1
272,52,5
272,53,6.8
272,55,5.2
272,56,7.5
272,57,5.1
272,61,5.5
272,66,8
272,67,5.5
272,68,5.8
272,73,5.6
272,75,6.6
272,80,6.2
272,83,5.9
272,84,5.8
272,87,6.8
272,92,7.4
272,96,5.5
272,97,5.8
272,98,8.4
272,99,6.1
272,100,6.5
272,101,5.2
272,102,5.8
272,105,6.5
272,107,5.3
272,110,5.6
272,111,5.3
272,112,5.5
272,116,5.7
272,118,5.2
272,122,5.1
272,124,5.9
272,125,5.8
272,157,6.6
272,161,8
272,162,6.9
273,1,8.3
273,8,6.5
273,9,6.2
273,12,7.2
273,14,5.3
273,15,5.3
273,16,5.6
273,17,6.3
273,18,6.6
273,19,6
273,37,5.6
273,38,6.2
273,39,6.7
273,40,6.9
273,41,5.6
273,45,5.3
273,53,6.7
273,57,5.3
273,66,7.9
273,75,6.4
273,80,6
273,83,5.3
273,85,7.4
273,87,6.5
273,88,8.3
273,92,7.4
273,96,5.6
273,97,5.8
273,98,8.1
273,99,6
273,100,5.9
273,102,5.8
273,105,6.1
273,111,5.3
273,114,5.7
273,124,5.6
273,125,5.6
273,145,7.7
273,150,5.3
273,157,7
273,161,8.2
273,162,6.9
274,5,5.4
274,7,8
274,9,9
274,10,6.2
274,11,5.5
274,12,8
274,13,7.1
274,14,8.4
274,15,8.1
274,16,6.1
274,17,7.8
274,19,8.2
274,20,6.2
274,22,5.8
274,23,5.6
274,24,6.2
274,25,5.6
274,26,7.1
274,28,5.9
274,29,5.4
274,31,7.5
274,32,9.1
274,33,6.6
274,35,7.2
274,37,7.3
274,38,7.8
274,40,8.3
274,42,7.1
274,43,5.8
274,45,7.5
274,46,6.4
274,50,6.1
274,52,6.5
274,54,6.6
274,55,6.5
274,56,8.3
274,57,7
274,59,7.2
274,61,7.6
274,62,5.5
274,64,5.2
274,66,7.8
274,67,5.7
274,68,7
274,69,6.5
274,70,5.3
274,71,6
274,73,6.6
274,74,7.1
274,75,8.3
274,79,6.9
274,83,6.8
274,84,7.1
274,85,7.1
274,87,8.4
274,89,7.7
274,92,8.3
274,96,7.6
274,97,6.8
274,99,7.2
274,100,7.4
274,101,6
274,102,7.9
274,103,6.2
274,104,6
274,105,8
274,107,7.4
274,108,8.8
274,109,5.6
274,110,6.8
274,111,5.1
274,112,6.6
274,113,5.4
274,114,5.8
274,116,6.8
274,118,6.7
274,121,6.2
274,122,6.2
274,124,7.9
274,125,6.3
274,131,6
274,138,7.1
274,140,6.6
274,142,5.9
274,144,7
274,149,6.3
274,150,5.9
274,151,6.2
274,157,8
274,162,8
274,166,5.8
275,5,5.5
275,7,7.5
275,10,6
275,11,5.6
275,12,7.9
275,13,6.7
275,14,7.8
275,15,8.1
275,16,6
275,17,7.7
275,19,7.8
275,20,6.1
275,22,5.7
275,23,5.8
275,24,6.1
275,25,5.4
275,26,6.9
275,31,7.1
275,32,7.9
275,33,6.8
275,34,6.1
275,35,6.7
275,37,7
275,38,7.5
275,40,8.4
275,41,7.9
275,42,6.9
275,43,5.5
275,45,7.4
275,46,6.4
275,50,5.9
275,52,6.2
275,54,6.8
275,55,6.6
275,56,8.9
275,57,6.6
275,59,7.2
275,61,7.7
275,62,5.7
275,64,5.1
275,66,7.8
275,67,5.7
275,68,7
275,69,6
275,71,5.9
275,73,6.5
275,74,6.9
275,75,8
275,76,5.9
275,79,6.5
275,83,7.1
275,84,7.4
275,85,7.6
275,87,8.4
275,89,7.7
275,92,8.2
275,96,7.6
275,97,6.9
275,99,7.2
275,100,7.5
275,101,5.8
275,102,8.1
275,103,6.4
275,104,6
275,105,8.1
275,107,7.3
275,108,7.9
275,109,5.6
275,110,7
275,111,5.1
275,112,6.6
275,114,5.6
275,116,6.7
275,118,6.6
275,121,6.2
275,122,5.4
275,124,7.9
275,125,6.4
275,131,6.1
275,138,6.9
275,140,6.9
275,142,5.9
275,144,6.6
275,149,6.1
275,150,6.3
275,151,6.2
275,157,7.9
275,162,7.8
275,163,5.5
276,1,6.8
276,8,5.7
276,9,6.5
276,13,5.8
276,14,5.9
276,15,5.1
276,17,5.9
276,18,5.6
276,24,5.2
276,25,6.4
276,26,7.6
276,28,6.8
276,29,5.7
276,32,7.3
276,33,5.1
276,38,5.9
276,39,6.3
276,40,5.1
276,41,5.6
276,42,6
276,43,5.4
276,46,5.4
276,50,6.5
276,53,6.5
276,54,5.8
276,55,5.8
276,57,5.8
276,62,5.3
276,73,6.1
276,74,5.7
276,75,5.9
276,80,5.5
276,81,5.9
276,83,6.6
276,84,5.5
276,85,5.7
276,87,6
276,88,7.9
276,95,6.8
276,96,6.6
276,98,6.3
276,100,6
276,105,6.9
276,107,6.6
276,112,6.4
276,113,5.8
276,114,5.2
276,117,5.3
276,118,5.8
276,121,6.8
276,124,6
276,125,7.9
276,131,5.9
276,138,5.8
276,142,6.8
276,143,5.3
276,150,5.3
276,151,5.6
276,162,5.2
277,1,7
277,8,6.1
277,9,6.8
277,14,5.5
277,15,5.5
277,17,6.3
277,18,6.1
277,19,5.5
277,25,6.6
277,26,6.8
277,28,6.8
277,32,7.7
277,37,6.8
277,38,7.2
277,39,6.2
277,40,5.7
277,41,5.2
277,42,7.5
277,43,6.3
277,45,5.7
277,46,5.5
277,50,6.1
277,53,7
277,54,7
277,55,6.2
277,56,6.8
277,57,5.3
277,59,5.6
277,66,5.4
277,67,5.4
277,69,5.6
277,73,5.9
277,74,5.7
277,75,6.7
277,79,5.9
277,80,6
277,83,6.5
277,84,6.9
277,85,6.1
277,87,5.7
277,88,8
277,95,6.2
277,96,6.6
277,98,7
277,100,5.6
277,102,6.1
277,105,6.6
277,107,6.4
277,113,5.8
277,114,5.7
277,118,6.6
277,122,5.9
277,124,6.3
277,125,6.5
277,138,7.1
277,142,6.3
277,151,5.4
278,1,8.5
278,5,5.7
278,7,6.8
278,8,8.3
278,9,7.2
278,11,5.4
278,12,8.2
278,13,6.5
278,14,7.9
278,15,7.3
278,16,6
278,17,8.3
278,19,8.1
278,20,5.9
278,21,5.9
278,23,5.8
278,24,6.4
278,25,6
278,26,7
278,29,5.4
278,31,5.8
278,32,7.9
278,33,7.2
278,37,6.9
278,38,8
278,39,8.1
278,40,8.2
278,41,7.8
278,42,6.2
278,43,5.4
278,45,6.5
278,46,6
278,50,6.5
278,53,8.1
278,54,7
278,55,5.4
278,56,9.1
278,57,7
278,59,7.6
278,61,7.7
278,62,5.2
278,63,5.8
278,66,8.1
278,67,5.8
278,68,6.3
278,69,6.6
278,70,5.5
278,71,6.2
278,73,6.4
278,74,7.1
278,75,6.1
278,79,5.6
278,80,7.3
278,83,7.3
278,84,6.5
278,87,8.3
278,92,8.1
278,96,7.3
278,97,6.1
278,99,7.3
278,100,7.5
278,102,6.3
278,103,6.3
278,105,6.6
278,107,7.3
278,109,5.8
278,110,6.5
278,112,6.8
278,114,6.3
278,116,6.1
278,117,6.1
278,118,6.2
278,121,6.1
278,122,5.6
278,124,7.2
278,125,6.9
278,138,7.4
278,140,6
278,150,6.6
278,151,5.8
278,162,8
278,164,6.5
279,1,6.3
279,2,5.8
279,7,6.8
279,8,8.1
279,9,6.9
279,10,6
279,26,6.4
279,27,6.8
279,28,6
279,30,6
279,31,5.5
279,32,8.5
279,35,7.9
279,37,6.9
279,38,6.9
279,39,8.4
279,47,5.7
279,48,6
279,50,6.9
279,52,5.3
279,59,6.3
279,66,5.5
279,80,5.4
279,87,5.4
279,88,7.6
279,89,6.4
279,90,5.8
279,93,7.9
279,94,6.5
279,98,6.1
279,108,7.5
279,109,5.9
279,118,5.8
279,119,7.4
279,124,8.1
279,128,5.5
279,135,6.3
279,148,6.6
280,1,8.6
280,7,5.8
280,9,8.2
280,17,7.5
280,26,6.2
280,27,8.7
280,29,5.9
280,30,5.8
280,33,8.3
280,35,6.7
280,36,5.4
280,37,6.6
280,38,6.8
280,48,6.4
280,49,6.4
280,59,5.7
280,66,6.8
280,80,5.3
280,87,6.7
280,88,9
280,92,6.3
280,93,8.5
280,98,8.5
280,108,6.5
280,119,6
280,124,7.1
280,127,5.6
280,128,8.7
281,1,5.5
281,14,5.6
281,17,6.2
281,18,5.6
281,25,5.1
281,26,7
281,28,7.1
281,29,5.3
281,32,6
281,39,5.5
281,41,5.4
281,43,5.1
281,46,5.2
281,50,6.7
281,53,6
281,57,5.4
281,69,5.3
281,73,5.6
281,75,5.5
281,80,5.3
281,83,6.2
281,87,5.3
281,88,6.7
281,95,6.7
281,96,5.5
281,98,6.1
281,100,5.3
281,107,5.6
281,112,5.6
281,113,5.2
281,118,5.9
281,121,6.4
281,124,5.3
281,142,6
281,156,4.2
282,1,5.5
282,17,5.9
282,18,5.2
282,26,6.3
282,28,7.3
282,37,5.1
282,39,5.4
282,50,6.8
282,53,5.7
282,55,5.4
282,59,5.6
282,69,5.4
282,73,5.4
282,75,5.9
282,80,5.1
282,83,5.4
282,85,5.5
282,88,6.4
282,95,6.7
282,96,5.4
282,98,6
282,100,5.1
282,107,5.4
282,112,5.3
282,114,5.3
282,117,5.2
282,118,5.7
282,124,5.2
282,125,5.7
282,142,5.7
283,8,6.2
283,32,7.5
283,38,8.1
283,53,7.7
283,55,6.4
283,74,5.7
283,80,6
283,88,7.6
283,92,5.4
283,96,7.1
284,8,6.5
284,32,7.5
284,38,6.8
284,53,7.6
284,55,6
284,74,5.8
284,80,6.3
284,88,8
284,96,6.7
284,97,5.2
285,8,5.2
285,32,7.2
285,38,6
285,53,6.8
285,74,6
285,80,7.1
285,92,5.3
285,96,6.5
285,97,5.4
286,8,6.3
286,32,7.9
286,35,7
286,38,5.9
286,53,7.1
286,55,6.9
286,74,5.7
286,80,7
286,88,7.9
286,89,6.7
286,92,5.3
286,96,6.2
286,97,6.4
287,8,5.9
287,32,7.8
287,38,6.2
287,53,6.9
287,74,6.1
287,80,6.6
287,88,8
287,92,5.8
287,96,6
287,97,6.2
288,8,5.5
288,32,7.9
288,38,5.2
288,53,6.6
288,80,6.1
288,88,7.1
288,92,5.5
288,96,5.5
288,97,6.8
289,8,6.8
289,32,8.6
289,38,6.2
289,53,7.3
289,74,6.4
289,80,6.6
289,88,7.9
289,92,5.8
289,96,6.9
289,97,6.6
290,8,6.1
290,32,7.5
290,38,5.6
290,53,7.7
290,74,5.7
290,80,7.1
290,88,8
290,92,6.1
290,96,6.3
291,8,6.2
291,32,7.9
291,38,6.4
291,53,7
291,80,6.9
291,92,5.3
291,96,6.3
291,97,5.5
292,8,6.2
292,32,9.4
292,38,7.6
292,53,7.7
292,80,7.1
292,96,6.9
293,39,6.2
293,51,6.3
293,71,5.6
293,90,5.7
293,91,5.6
293,108,6.2
294,12,6.8
294,75,5.8
294,117,5.7
294,162,7
295,1,7.9
295,2,6.5
295,3,6.4
295,7,6.2
295,8,6
295,11,6.3
295,13,6.3
295,14,7.3
295,15,5.9
295,16,5.7
295,17,6.7
295,18,6.1
295,19,5.9
295,21,5.1
295,22,6.2
295,23,6.4
295,29,6.1
295,31,6.2
295,32,7.4
295,33,6.8
295,37,6.6
295,38,6.4
295,39,6.3
295,41,7.4
295,43,6.2
295,44,6.8
295,45,6.2
295,52,5.8
295,53,6.4
295,55,6.1
295,57,6.5
295,59,7.1
295,60,6.6
295,61,6.4
295,63,6.3
295,64,5.3
295,65,6.8
295,67,5.9
295,68,6.7
295,69,5.2
295,70,6.2
295,71,7.7
295,73,6.7
295,74,7
295,75,6.5
295,76,6.8
295,80,7.5
295,81,6
295,83,5.6
295,84,5.2
295,85,6.3
295,87,6
295,92,5.6
295,96,6.8
295,97,7.8
295,98,7.7
295,99,7.1
295,100,5.9
295,101,7.9
295,105,5.9
295,107,6.6
295,110,7.6
295,112,6.5
295,113,5.4
295,114,6.4
295,116,7
295,117,6.3
295,118,6.2
295,121,7.1
295,123,5.9
295,124,6.6
295,125,6.2
295,138,5.3
295,141,5.7
295,142,6.6
295,149,6.3
295,150,6.3
295,162,5.2
295,164,5.7
296,13,7.2
296,32,7.5
296,48,5.7
296,73,6.3
296,91,6.5
296,99,6.9
296,108,5.8
296,110,5.9
296,119,7.7
296,120,6.2
296,121,6
296,137,6
296,168,7.1
296,169,6.3
296,170,5.9
297,1,6.5
297,8,5.3
297,10,5.8
297,13,5.8
297,14,5.8
297,16,5.5
297,22,5.7
297,23,5.2
297,33,6.1
297,37,5.3
297,38,5.6
297,41,5.4
297,43,5.2
297,45,6
297,49,6.4
297,53,5.4
297,57,5.2
297,59,5.5
297,61,5.3
297,62,6.5
297,70,5.8
297,71,6.7
297,73,5.8
297,80,6
297,85,6.1
297,87,5.7
297,88,7.4
297,96,5.5
297,97,5.7
297,98,6
297,99,6.2
297,100,5.5
297,101,6.2
297,107,5.4
297,110,5.9
297,112,5.4
297,114,5.2
297,118,6.5
297,121,6
297,124,5.3
297,140,5.2
297,142,5.7
298,1,7.2
298,3,5.6
298,5,6.6
298,7,7.2
298,8,6.3
298,9,7.3
298,10,6.4
298,11,5.9
298,13,6.4
298,14,6.5
298,15,5.2
298,16,6.5
298,17,6.3
298,18,5.5
298,19,6.9
298,21,5.8
298,23,6.7
298,26,7.5
298,27,7.8
298,28,6.9
298,29,6.4
298,30,6.1
298,31,6.3
298,32,8.9
298,33,6.3
298,35,6.3
298,36,6.4
298,39,5.9
298,40,5.9
298,41,6.1
298,42,8.2
298,43,5.9
298,44,7.1
298,45,6
298,46,6.2
298,47,6.6
298,48,6.4
298,49,6.7
298,50,6
298,52,5.3
298,53,6.1
298,54,7.1
298,55,5.5
298,57,5.9
298,59,6.4
298,60,5.9
298,61,6.6
298,62,5.3
298,63,6.3
298,64,5.4
298,65,6.6
298,66,5.9
298,67,6
298,69,5.2
298,70,6.3
298,71,7.1
298,73,7.2
298,74,7.6
298,75,6.2
298,76,6.6
298,79,6.4
298,80,6.3
298,81,5.8
298,83,6
298,84,7
298,85,7
298,87,5.8
298,89,6.9
298,91,5.9
298,94,7.6
298,95,7.7
298,96,7.9
298,97,5.6
298,98,7
298,99,6.1
298,100,5.7
298,101,5.7
298,103,7.3
298,104,5.4
298,105,6.2
298,106,5.2
298,107,7.4
298,109,6.2
298,111,5.1
298,113,7.8
298,114,6
298,115,6.8
298,118,6.7
298,119,6.3
298,122,5.7
298,123,7.7
298,124,7.9
298,125,7.3
298,131,6.9
298,133,6.5
298,136,6
298,138,7.6
298,140,6
298,142,7.1
298,148,6.7
298,151,6.3
298,158,5.9
298,161,5.2
298,162,5.9
298,166,7.1
299,1,6
299,3,4
299,4,4.8
299,5,4.1
299,6,4.4
299,7,4.5
299,8,5.3
299,9,4.8
299,10,4.8
299,26,5.4
299,27,7
299,28,4.6
299,29,5.1
299,30,4.4
299,34,4.1
299,35,5.3
299,36,4.4
299,37,5.6
299,38,5.5
299,39,6.4
299,47,4.6
299,48,4.1
299,49,4.6
299,50,4
299,52,4.1
299,59,4.4
299,64,4.4
299,66,4.6
299,70,4.7
299,78,4
299,79,5.3
299,80,4.7
299,87,4.9
299,88,7.5
299,89,4.9
299,90,4.7
299,91,5
299,92,4.8
299,93,4.9
299,94,4.3
299,98,6.4
299,106,4.4
299,108,5.2
299,109,4.9
299,118,4.7
299,119,5.4
299,124,6.5
299,127,4.2
299,128,4.2
299,130,4.3
299,131,4.3
299,135,4.5
299,136,4.7
299,148,4.7
300,1,6.9
300,5,6
300,7,6.4
300,9,6.5
300,13,6.4
300,26,7.3
300,27,8.3
300,30,5.6
300,31,5.5
300,32,8.5
300,33,6.1
300,35,6.4
300,36,6.6
300,37,8.4
300,38,8.7
300,47,6.2
300,74,7
300,79,5.8
300,80,5.7
300,88,8
300,89,6.7
300,92,5.4
300,93,5.8
300,94,6.1
300,96,7.6
300,98,7.3
300,109,6.3
300,119,5.9
300,124,8
300,125,6.7
300,131,5.7
300,136,5.4
300,148,5.9
301,7,5.9
301,8,6.9
301,10,6.5
301,15,6.3
301,18,6
301,19,5.5
301,26,6.5
301,28,6.5
301,37,7
301,38,6.7
301,39,6.8
301,40,5.4
301,45,5.7
301,46,5.3
301,50,6
301,53,7.5
301,70,5.4
301,73,6.1
301,83,6.6
301,84,7
301,85,7.3
301,92,5.6
301,96,6.6
301,98,7.4
301,100,5.4
301,103,6.2
301,107,6.3
301,112,5.9
301,113,6
301,118,6.2
301,124,6.1
301,142,5.6
301,151,5.2
301,157,5.4
301,161,6.1
301,164,5.6
302,1,7.9
302,8,6.6
302,15,5.8
302,17,5.7
302,18,5.8
302,19,5.6
302,22,6.2
302,25,5.1
302,26,5.9
302,32,6.3
302,37,7.2
302,38,7
302,39,6.6
302,40,5.4
302,42,6.3
302,45,6.1
302,52,5.4
302,53,6.2
302,54,6.1
302,57,5.2
302,74,6.6
302,75,6.4
302,79,5.6
302,83,5.6
302,84,5.3
302,85,6.3
302,87,5.4
302,88,8
302,92,6.1
302,96,5.9
302,98,7.5
302,99,5.2
302,100,5.3
302,102,7.6
302,105,7.6
302,107,5.8
302,113,6.5
302,114,5.6
302,124,5.9
302,125,6.1
302,138,5.7
302,157,5.3
302,161,5.9
302,162,5.8
303,1,7.1
303,8,6.4
303,9,6.5
303,15,6.7
303,17,6.2
303,18,5.9
303,19,5.5
303,25,5.4
303,26,6.6
303,32,6.9
303,37,7.7
303,38,7.4
303,39,7
303,40,5.3
303,42,5.6
303,44,7.5
303,45,5.9
303,46,5.4
303,52,5.2
303,53,7
303,56,6
303,69,6
303,74,6.4
303,75,7.3
303,79,5.2
303,80,5.5
303,83,5.9
303,84,5.7
303,85,6.5
303,87,6
303,88,7.5
303,92,6.5
303,96,6.6
303,98,7.7
303,99,5.5
303,100,5.9
303,102,7.4
303,105,7.5
303,107,6
303,113,6.8
303,114,5.5
303,124,6.2
303,125,6.8
303,151,5.3
303,157,5.6
303,161,5.9
303,162,6.3
304,1,8
304,5,7.1
304,7,7.2
304,8,6.7
304,9,7.1
304,10,6.8
304,12,6.2
304,13,6.4
304,14,6.5
304,15,5.8
304,16,6.6
304,17,6.5
304,18,6.6
304,19,7.1
304,20,5.4
304,21,5.5
304,22,5.9
304,23,7.2
304,24,5.3
304,26,8.1
304,28,6.8
304,29,5.9
304,31,6.5
304,32,9.3
304,33,7.5
304,39,6.5
304,40,6.6
304,41,6.3
304,42,8.1
304,43,5.9
304,44,6.9
304,45,6.5
304,46,6.8
304,50,7.1
304,52,5.8
304,53,6.6
304,54,8.1
304,55,5.8
304,57,5.6
304,59,7.1
304,60,5.9
304,62,5.4
304,64,5.5
304,65,6.4
304,66,6.6
304,67,6.6
304,68,6.8
304,69,5.9
304,70,6.2
304,71,6.8
304,73,7.1
304,74,8.1
304,76,6.5
304,79,6.6
304,80,7.7
304,83,7.2
304,84,8
304,85,7
304,87,6.2
304,92,6.4
304,95,6.3
304,97,5.6
304,98,8.2
304,99,6.4
304,100,6.4
304,101,5.7
304,102,6.1
304,103,7.9
304,104,5.8
304,105,6.5
304,106,5.1
304,107,8.3
304,109,6.4
304,110,6.6
304,111,6.1
304,112,7.2
304,113,8.5
304,114,6.9
304,115,6.4
304,118,7
304,122,6.6
304,123,6.9
304,124,8
304,125,8
304,131,7.5
304,133,6.2
304,138,7.8
304,140,6.8
304,142,7.4
304,143,5.2
304,150,7.5
304,151,7.5
304,157,5.4
304,161,5.3
304,162,6.6
305,5,5.8
305,7,6.1
305,8,6.5
305,10,7.2
305,15,6.6
305,18,6.5
305,19,5.2
305,26,7.5
305,28,6.2
305,29,5.1
305,37,7.8
305,39,7.7
305,40,5.6
305,45,5.7
305,46,5.2
305,53,8.6
305,66,6.6
305,70,5.4
305,73,6.3
305,84,6.9
305,92,5.7
305,96,7.5
305,98,7.2
305,99,5.3
305,100,5.7
305,103,5.7
305,107,7.4
305,110,5.6
305,113,5.8
305,117,5.7
305,118,6.7
305,122,5.8
305,124,6.5
305,151,5.4
305,157,5.3
305,161,5.8
305,164,6
306,1,6.9
306,5,6.1
306,8,7.2
306,9,7.3
306,10,6.4
306,12,5.9
306,14,5.9
306,15,6.7
306,17,6.3
306,18,6.1
306,19,5.9
306,25,5.3
306,26,6.3
306,32,7.9
306,33,5.6
306,37,8.4
306,38,8.5
306,39,6.5
306,40,5.8
306,41,5.6
306,42,5.9
306,43,5.7
306,44,5.9
306,46,5.3
306,50,6.1
306,53,7.4
306,54,6.3
306,55,5.9
306,56,7.1
306,59,5.8
306,61,5.3
306,66,5.3
306,69,5.5
306,73,6.1
306,75,6
306,80,6.2
306,82,6
306,83,5.8
306,84,6.6
306,85,6
306,87,5.4
306,88,8.2
306,96,7
306,98,7.2
306,100,5.2
306,102,7.3
306,105,7
306,107,6.7
306,109,6.2
306,112,6.2
306,113,6.1
306,114,5.5
306,118,6.6
306,124,6.4
306,125,6.4
306,138,5.9
306,150,5.3
306,151,5.9
306,152,6.5
306,157,5.5
306,161,5.8
306,162,5.1
307,1,7.8
307,5,6.7
307,7,7
307,8,5.9
307,9,6.7
307,10,6.9
307,12,5.9
307,14,6.3
307,15,5.2
307,16,5.8
307,17,5.5
307,18,6.3
307,19,6.5
307,21,6
307,26,7.3
307,28,6.7
307,29,5.4
307,31,6
307,32,9.2
307,33,6.4
307,35,6.9
307,40,6.6
307,41,6.3
307,42,8.4
307,43,5.7
307,44,6.3
307,45,5.9
307,46,6.7
307,52,5.6
307,54,7.7
307,55,5.4
307,56,6.5
307,57,5.6
307,59,6.5
307,61,6.3
307,62,5.4
307,64,5.2
307,65,6.4
307,66,6.1
307,67,5.9
307,68,6.3
307,69,5.7
307,70,5.8
307,71,6.7
307,73,6.7
307,74,7.5
307,75,6.9
307,76,6.1
307,77,5.1
307,79,6.6
307,80,6.3
307,82,5.5
307,83,7
307,84,7.1
307,85,6.5
307,87,6.1
307,89,7
307,95,5.9
307,97,5.2
307,98,7.5
307,100,5.8
307,101,5.5
307,102,6
307,103,7.7
307,105,6.8
307,107,8
307,108,5.9
307,109,6.1
307,110,6.3
307,111,5.2
307,113,8.2
307,114,6.3
307,115,6
307,118,6.5
307,122,6.5
307,124,7.9
307,125,7.1
307,127,6.8
307,131,6.8
307,133,6.1
307,138,7.9
307,140,6.1
307,142,7
307,147,5.7
307,150,6.6
307,151,6.9
307,157,5.4
307,161,5.8
307,162,6.1
308,7,6.5
308,8,6.6
308,9,7.9
308,10,7
308,15,7.5
308,17,6.6
308,18,5.7
308,19,5.6
308,32,6.3
308,33,5.5
308,37,7.4
308,38,7.8
308,39,6.5
308,40,5.1
308,50,5.9
308,53,7.5
308,55,5.3
308,56,6.8
308,59,5.7
308,66,5.7
308,80,5.2
308,83,6.2
308,85,6.7
308,88,6.1
308,92,5.3
308,96,7
308,98,6.7
308,100,5.5
308,105,7.1
308,107,7
308,112,5.8
308,117,5.4
308,118,6.9
308,124,5.1
308,125,5.5
308,142,6.6
308,150,5.8
308,161,5.3
309,1,5.4
309,7,6.3
309,8,6.5
309,9,7.3
309,10,6.5
309,13,5.9
309,15,6.8
309,17,6
309,18,5.9
309,37,6.9
309,38,7
309,39,6.9
309,42,5.1
309,53,7.5
309,55,5.2
309,56,7
309,59,5.5
309,66,5.7
309,73,5.4
309,83,5.8
309,84,6.1
309,87,5
309,88,6.1
309,92,5.5
309,96,6.2
309,98,6.9
309,102,5.8
309,105,6.1
309,107,6.3
309,112,5.6
309,118,6.1
309,124,5.7
309,142,6
309,144,5.1
309,150,5.6
309,161,5.5
310,1,6.2
310,17,5.2
310,26,6.2
310,32,6.9
310,38,6.1
310,39,6
310,42,7
310,53,6.5
310,54,6.8
310,75,5.8
310,83,5.1
310,84,5.1
310,85,5.5
310,88,7.5
310,96,5.7
310,98,6.4
310,105,6.2
310,107,5.6
310,113,5.5
310,118,5.3
310,124,5
310,125,6.3
310,138,6.5
310,161,5.1
311,1,5.5
311,7,6.2
311,8,6.5
311,9,8
311,10,6.8
311,13,5.9
311,15,6.7
311,17,6.1
311,18,5.8
311,19,5.4
311,32,6.2
311,33,5.7
311,37,6.5
311,38,6.7
311,39,6.7
311,42,5.3
311,43,5.8
311,50,6
311,53,7.4
311,54,5.2
311,55,5.3
311,59,6.2
311,66,5.6
311,73,6
311,75,5.6
311,83,5.7
311,84,6.3
311,85,6.6
311,87,5.3
311,88,6.3
311,96,6.7
311,98,5.8
311,100,5.2
311,101,5.4
311,102,6.2
311,105,6.3
311,107,6.2
311,112,5.6
311,118,6.3
311,124,5.8
311,142,6
311,150,5.7
311,161,5.1
312,1,7.2
312,5,6.8
312,7,6.1
312,8,5.2
312,9,5.8
312,10,6.3
312,13,5.9
312,18,5.5
312,19,5.6
312,26,6.9
312,28,6.2
312,31,5.4
312,32,7.2
312,33,5.5
312,35,7.4
312,38,8.6
312,39,5.1
312,40,5.1
312,42,7.7
312,43,5.7
312,45,5.6
312,46,7.1
312,53,5.2
312,59,5.3
312,68,5.9
312,73,5.9
312,74,6.8
312,75,5.7
312,79,5.7
312,83,6
312,84,7.9
312,85,5.3
312,87,5.6
312,88,8
312,89,7.9
312,92,6.2
312,96,8.5
312,98,7.7
312,100,5.5
312,103,5.8
312,107,8.4
312,108,6.8
312,112,5.9
312,113,6.5
